Cash And Cash Equivalents,Current Ratio,Debt / Net Worth,EBITDA Margin,Earnings Before Interest And Tax,Financial Leverage,Gross Profit Margin,Quick Ratio,Return On Assets,Sales / Total Assets,Senior Net Debt,Total Liabilities / Total Assets,Total Net Debt EBITDA,default,year
8,2,7,1,8,8,4,4,5,8,6,7,6,1,2015
3,0,0,1,5,9,9,0,4,9,5,8,4,0,2016
2,0,1,1,5,9,9,0,2,9,5,8,4,1,2017
0,1,1,2,1,9,8,1,0,4,5,8,4,0,2019
1,1,2,2,1,7,8,0,0,3,5,6,4,1,2020
3,6,7,2,2,7,8,6,2,4,6,6,6,1,2019
3,3,9,1,5,9,8,1,2,7,6,8,6,0,2015
4,1,9,2,6,9,9,0,5,7,5,8,6,0,2016
4,2,8,2,6,8,9,0,5,8,5,7,6,0,2017
4,1,7,2,6,7,9,0,5,8,5,6,6,0,2018
4,3,7,2,6,7,9,4,5,8,5,6,6,1,2019
2,1,9,1,3,8,5,0,0,8,6,7,6,0,2015
2,0,9,1,4,8,5,0,0,7,6,7,6,0,2016
0,1,5,1,5,8,5,0,0,1,5,7,5,1,2018
7,6,0,1,7,4,6,6,7,9,5,3,4,1,2015
1,0,7,1,2,8,9,0,0,5,6,7,6,0,2015
2,0,7,1,4,8,4,0,2,9,6,7,6,0,2016
3,0,7,1,4,8,4,0,2,9,6,7,6,1,2017
2,3,7,1,5,8,6,2,4,9,5,7,6,0,2015
2,3,7,1,5,8,6,4,4,9,6,7,6,1,2016
5,1,7,1,5,8,4,1,2,9,6,7,7,0,2015
5,1,7,1,5,8,4,1,4,9,6,7,7,0,2016
6,1,7,1,5,8,4,1,2,9,6,7,6,0,2017
5,1,7,1,5,8,4,1,0,9,6,7,6,0,2018
7,2,2,1,6,7,4,1,2,9,5,6,4,1,2019
7,1,9,1,8,9,9,0,6,7,6,8,6,0,2015
7,0,8,1,8,9,9,0,2,7,6,8,6,0,2016
7,0,9,1,8,9,9,0,2,7,6,8,6,0,2017
7,0,9,1,8,9,9,0,2,7,6,8,6,0,2018
7,0,9,1,8,9,9,0,4,7,6,8,6,0,2019
8,1,9,0,0,9,9,1,0,5,4,8,2,0,2020
8,1,9,1,0,9,9,1,0,5,6,8,7,1,2021
2,0,0,0,1,0,9,0,0,2,1,8,1,0,2018
3,0,9,2,3,9,9,0,0,4,8,8,7,0,2019
3,5,9,2,2,9,9,4,0,4,6,8,7,1,2020
9,0,9,1,9,9,8,0,2,5,6,8,6,0,2015
9,0,9,1,9,9,8,0,2,5,6,8,6,1,2016
6,6,1,1,6,4,6,6,2,6,5,3,4,1,2015
9,5,6,1,9,5,6,4,5,6,5,4,6,1,2015
1,0,4,6,3,4,9,0,2,2,5,3,4,0,2015
1,0,4,6,3,4,9,0,2,2,5,3,4,0,2016
1,3,9,6,2,8,9,4,0,1,8,7,8,0,2017
1,6,4,6,2,4,9,6,0,2,5,3,4,1,2018
7,5,1,1,5,7,4,4,2,6,2,6,2,1,2015
6,1,9,2,7,9,8,0,0,5,6,8,6,0,2015
7,1,9,2,7,8,8,1,0,5,6,7,6,0,2016
6,0,9,1,5,8,8,0,0,5,6,7,6,0,2017
5,1,9,1,6,8,8,1,0,5,6,7,7,0,2018
5,1,9,1,5,8,6,1,0,5,8,7,8,0,2019
5,1,7,1,6,8,8,1,0,5,6,7,6,1,2020
4,1,9,1,6,9,9,1,0,5,6,8,6,1,2015
3,5,7,0,0,8,4,4,0,9,5,7,4,0,2016
4,2,0,1,3,9,4,2,2,8,4,8,2,0,2017
